timestamp,household_id,appliance,power_kW
2025-06-16T20:53:40.725796,8,Refrigerator,2.01
2025-06-16T20:54:40.725796,2,Washer,1.52
2025-06-16T20:55:40.725796,6,HVAC,2.92
2025-06-16T20:56:40.725796,3,HVAC,3.45
2025-06-16T20:57:40.725796,9,Dryer,3.15
2025-06-16T20:58:40.725796,10,Washer,1.74
2025-06-16T20:59:40.725796,4,Refrigerator,0.57
2025-06-16T21:00:40.725796,2,Washer,0.63
2025-06-16T21:01:40.725796,2,Refrigerator,4.32
2025-06-16T21:02:40.725796,8,Dryer,1.23
2025-06-16T21:03:40.725796,9,HVAC,0.12
2025-06-16T21:04:40.725796,6,Lighting,2.88
2025-06-16T21:05:40.725796,6,HVAC,4.16
2025-06-16T21:06:40.725796,1,Dryer,4.37
2025-06-16T21:07:40.725796,3,Washer,4.55
2025-06-16T21:08:40.725796,2,Refrigerator,0.11
2025-06-16T21:09:40.725796,2,Refrigerator,4.8
2025-06-16T21:10:40.725796,6,Refrigerator,2.84
2025-06-16T21:11:40.725796,9,Dryer,3.16
2025-06-16T21:12:40.725796,6,HVAC,0.24
2025-06-16T21:13:40.725796,10,Dryer,0.29
2025-06-16T21:14:40.725796,9,HVAC,4.98
2025-06-16T21:15:40.725796,6,Dryer,1.68
2025-06-16T21:16:40.725796,10,Lighting,3.36
2025-06-16T21:17:40.725796,2,Dryer,2.76
2025-06-16T21:18:40.725796,7,Washer,2.82
2025-06-16T21:19:40.725796,9,Refrigerator,0.23
2025-06-16T21:20:40.725796,5,Lighting,1.83
2025-06-16T21:21:40.725796,4,Washer,0.69
2025-06-16T21:22:40.725796,2,HVAC,3.87
2025-06-16T21:23:40.725796,3,Washer,2.01
2025-06-16T21:24:40.725796,4,Dryer,0.48
2025-06-16T21:25:40.725796,9,Dryer,4.76
2025-06-16T21:26:40.725796,1,Lighting,0.56
2025-06-16T21:27:40.725796,3,Washer,2.99
2025-06-16T21:28:40.725796,1,Washer,1.69
2025-06-16T21:29:40.725796,3,Refrigerator,3.82
2025-06-16T21:30:40.725796,4,Refrigerator,2.79
2025-06-16T21:31:40.725796,4,Lighting,2.08
2025-06-16T21:32:40.725796,4,Washer,1.05
2025-06-16T21:33:40.725796,9,Refrigerator,4.98
2025-06-16T21:34:40.725796,7,Washer,2.11
2025-06-16T21:35:40.725796,3,HVAC,3.75
2025-06-16T21:36:40.725796,3,Refrigerator,4.77
2025-06-16T21:37:40.725796,8,Dryer,3.68
2025-06-16T21:38:40.725796,5,Washer,4.92
2025-06-16T21:39:40.725796,2,Lighting,4.41
2025-06-16T21:40:40.725796,4,Dryer,3.53
2025-06-16T21:41:40.725796,6,Lighting,2.15
2025-06-16T21:42:40.725796,7,Refrigerator,4.1
2025-06-16T21:43:40.725796,8,Refrigerator,0.36
2025-06-16T21:44:40.725796,5,Dryer,0.57
2025-06-16T21:45:40.725796,9,HVAC,3.56
2025-06-16T21:46:40.725796,2,Dryer,4.51
2025-06-16T21:47:40.725796,10,Lighting,3.88
2025-06-16T21:48:40.725796,7,Refrigerator,0.57
2025-06-16T21:49:40.725796,5,Refrigerator,0.51
2025-06-16T21:50:40.725796,7,HVAC,3.62
2025-06-16T21:51:40.725796,6,Dryer,2.28
2025-06-16T21:52:40.725796,3,Lighting,1.58
2025-06-16T21:53:40.725796,6,HVAC,2.79
2025-06-16T21:54:40.725796,10,Refrigerator,3.21
2025-06-16T21:55:40.725796,2,Washer,2.56
2025-06-16T21:56:40.725796,3,Dryer,4.04
2025-06-16T21:57:40.725796,10,Lighting,1.13
2025-06-16T21:58:40.725796,1,Refrigerator,1.26
2025-06-16T21:59:40.725796,4,Lighting,3.81
2025-06-16T22:00:40.725796,1,Lighting,4.01
2025-06-16T22:01:40.725796,2,Washer,3.28
2025-06-16T22:02:40.725796,10,Dryer,2.43
2025-06-16T22:03:40.725796,4,Refrigerator,0.54
2025-06-16T22:04:40.725796,7,Washer,2.6
2025-06-16T22:05:40.725796,10,Lighting,4.09
2025-06-16T22:06:40.725796,2,Lighting,4.08
2025-06-16T22:07:40.725796,10,HVAC,4.3
2025-06-16T22:08:40.725796,10,Dryer,1.86
2025-06-16T22:09:40.725796,7,Lighting,2.56
2025-06-16T22:10:40.725796,1,Dryer,3.87
2025-06-16T22:11:40.725796,2,Lighting,3.1
2025-06-16T22:12:40.725796,7,Lighting,2.23
2025-06-16T22:13:40.725796,10,Dryer,0.42
2025-06-16T22:14:40.725796,5,Refrigerator,3.93
2025-06-16T22:15:40.725796,10,HVAC,4.73
2025-06-16T22:16:40.725796,10,Refrigerator,1.58
2025-06-16T22:17:40.725796,7,HVAC,1.6
2025-06-16T22:18:40.725796,7,Washer,2.53
2025-06-16T22:19:40.725796,6,Washer,0.81
2025-06-16T22:20:40.725796,4,Lighting,3.74
2025-06-16T22:21:40.725796,10,Dryer,1.97
2025-06-16T22:22:40.725796,9,Washer,2.67
2025-06-16T22:23:40.725796,7,Washer,4.32
2025-06-16T22:24:40.725796,10,Refrigerator,0.42
2025-06-16T22:25:40.725796,5,Dryer,3.3
2025-06-16T22:26:40.725796,1,Lighting,3.06
2025-06-16T22:27:40.725796,3,HVAC,0.4
2025-06-16T22:28:40.725796,9,Refrigerator,2.96
2025-06-16T22:29:40.725796,8,Lighting,3.74
2025-06-16T22:30:40.725796,8,Dryer,4.09
2025-06-16T22:31:40.725796,2,HVAC,0.64
2025-06-16T22:32:40.725796,3,Washer,4.41
2025-06-16T22:33:40.725796,2,Washer,2.02
2025-06-16T22:34:40.725796,2,Refrigerator,0.88
2025-06-16T22:35:40.725796,10,Refrigerator,2.93
2025-06-16T22:36:40.725796,7,Washer,1.03
2025-06-16T22:37:40.725796,9,HVAC,4.44
2025-06-16T22:38:40.725796,6,Lighting,1.53
2025-06-16T22:39:40.725796,1,Refrigerator,1.47
2025-06-16T22:40:40.725796,7,Refrigerator,0.34
2025-06-16T22:41:40.725796,1,HVAC,2.41
2025-06-16T22:42:40.725796,5,Dryer,1.94
2025-06-16T22:43:40.725796,1,Washer,1.79
2025-06-16T22:44:40.725796,3,Refrigerator,3.39
2025-06-16T22:45:40.725796,2,Lighting,2.26
2025-06-16T22:46:40.725796,7,Refrigerator,4.62
2025-06-16T22:47:40.725796,1,Dryer,1.98
2025-06-16T22:48:40.725796,10,Lighting,2.8
2025-06-16T22:49:40.725796,8,Washer,4.42
2025-06-16T22:50:40.725796,9,HVAC,4.91
2025-06-16T22:51:40.725796,3,Lighting,4.26
2025-06-16T22:52:40.725796,3,Refrigerator,0.2
2025-06-16T22:53:40.725796,4,Refrigerator,0.9
2025-06-16T22:54:40.725796,3,Washer,1.64
2025-06-16T22:55:40.725796,4,Lighting,1.13
2025-06-16T22:56:40.725796,8,Lighting,4.22
2025-06-16T22:57:40.725796,9,Lighting,1.84
2025-06-16T22:58:40.725796,5,HVAC,1.84
2025-06-16T22:59:40.725796,1,Dryer,2.37
2025-06-16T23:00:40.725796,5,Refrigerator,3.37
2025-06-16T23:01:40.725796,6,HVAC,0.18
2025-06-16T23:02:40.725796,5,Washer,1.28
2025-06-16T23:03:40.725796,3,Refrigerator,2.57
2025-06-16T23:04:40.725796,10,Lighting,1.92
2025-06-16T23:05:40.725796,7,HVAC,0.28
2025-06-16T23:06:40.725796,2,Dryer,0.51
2025-06-16T23:07:40.725796,6,Lighting,0.67
2025-06-16T23:08:40.725796,7,HVAC,4.82
2025-06-16T23:09:40.725796,8,Washer,3.35
2025-06-16T23:10:40.725796,5,Lighting,3.92
2025-06-16T23:11:40.725796,2,Refrigerator,4.93
2025-06-16T23:12:40.725796,5,Washer,0.39
2025-06-16T23:13:40.725796,8,Refrigerator,3.49
2025-06-16T23:14:40.725796,10,HVAC,2.14
2025-06-16T23:15:40.725796,2,Dryer,2.5
2025-06-16T23:16:40.725796,3,HVAC,2.9
2025-06-16T23:17:40.725796,7,Refrigerator,3.31
2025-06-16T23:18:40.725796,8,Dryer,1.05
2025-06-16T23:19:40.725796,2,HVAC,2.17
2025-06-16T23:20:40.725796,8,Lighting,0.49
2025-06-16T23:21:40.725796,7,Dryer,1.99
2025-06-16T23:22:40.725796,2,HVAC,2.9
2025-06-16T23:23:40.725796,1,Refrigerator,2.69
2025-06-16T23:24:40.725796,1,Lighting,0.49
2025-06-16T23:25:40.725796,1,Dryer,3.27
2025-06-16T23:26:40.725796,6,Lighting,4.19
2025-06-16T23:27:40.725796,5,Washer,4.1
2025-06-16T23:28:40.725796,7,Dryer,4.24
2025-06-16T23:29:40.725796,3,Washer,1.08
2025-06-16T23:30:40.725796,1,HVAC,3.89
2025-06-16T23:31:40.725796,4,HVAC,4.22
2025-06-16T23:32:40.725796,7,Washer,2.15
2025-06-16T23:33:40.725796,4,Washer,3.52
2025-06-16T23:34:40.725796,8,Refrigerator,4.39
2025-06-16T23:35:40.725796,3,Washer,0.89
2025-06-16T23:36:40.725796,2,HVAC,3.38
2025-06-16T23:37:40.725796,3,Dryer,4.87
2025-06-16T23:38:40.725796,1,Dryer,3.32
2025-06-16T23:39:40.725796,2,Washer,1.67
2025-06-16T23:40:40.725796,8,Washer,2.21
2025-06-16T23:41:40.725796,2,Refrigerator,0.95
2025-06-16T23:42:40.725796,1,Lighting,2.24
2025-06-16T23:43:40.725796,10,Refrigerator,4.55
2025-06-16T23:44:40.725796,3,Refrigerator,0.27
2025-06-16T23:45:40.725796,10,Refrigerator,1.26
2025-06-16T23:46:40.725796,1,Refrigerator,1.58
2025-06-16T23:47:40.725796,2,Refrigerator,2.68
2025-06-16T23:48:40.725796,3,Refrigerator,2.9
2025-06-16T23:49:40.725796,5,HVAC,1.49
2025-06-16T23:50:40.725796,1,HVAC,1.53
2025-06-16T23:51:40.725796,2,Dryer,1.24
2025-06-16T23:52:40.725796,3,Lighting,1.41
2025-06-16T23:53:40.725796,2,HVAC,3.79
2025-06-16T23:54:40.725796,1,Refrigerator,4.44
2025-06-16T23:55:40.725796,4,HVAC,0.39
2025-06-16T23:56:40.725796,4,Lighting,3.44
2025-06-16T23:57:40.725796,10,Refrigerator,3.96
2025-06-16T23:58:40.725796,10,Lighting,0.33
2025-06-16T23:59:40.725796,2,Dryer,1.68
2025-06-17T00:00:40.725796,6,Refrigerator,4.12
2025-06-17T00:01:40.725796,8,Refrigerator,2.97
2025-06-17T00:02:40.725796,4,Lighting,0.9
2025-06-17T00:03:40.725796,1,Lighting,1.99
